NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
331,187,0.934853,0.000144559,,494.993,,0.4148
332,188,0.935397,0.000543729,,495.649,,0.414725
333,188,0.935657,0.000259942,,496.081,,0.4147
334,187,0.935801,0.000144002,,495.519,,0.4144
335,187,0.936055,0.000254433,,495.847,,0.41435
336,187,0.936299,0.000243447,,496.336,,0.414
337,186,0.936442,0.000143308,,495.797,,0.4139
338,185,0.936585,0.00014317,,495.267,,0.4138
339,185,0.936832,0.000246887,,495.683,,0.4137
340,186,0.937527,0.000695152,,497.02,,0.413428
341,185,0.93767,0.000142617,,496.51,,0.4134
342,186,0.938238,0.000568265,,497.695,,0.413056
343,185,0.93838,0.000142066,,497.199,,0.413
344,185,0.938624,0.000243583,,497.711,,0.41295
345,185,0.938949,0.000325261,,498.134,,0.412733
346,185,0.939233,0.000283326,,498.566,,0.412733
347,185,0.939514,0.000281755,,499.063,,0.412667
348,186,0.940127,0.000612267,,500.449,,0.412258
349,186,0.940402,0.000275354,,500.901,,0.412133
350,186,0.940657,0.000254727,,501.39,,0.4116
351,187,0.941308,0.000651138,,502.612,,0.4116
352,188,0.942276,0.000968537,,503.602,,0.411048
353,187,0.942416,0.000139334,,503.165,,0.411
354,186,0.942555,0.000139198,,502.737,,0.4109
355,186,0.942798,0.000242984,,503.117,,0.41045
356,186,0.943189,0.000390954,,503.497,,0.409275
357,186,0.943428,0.000239156,,503.895,,0.4088
358,185,0.943564,0.000136241,,503.497,,0.4087
359,185,0.943889,0.000324835,,503.878,,0.408067
360,186,0.944413,0.000523904,,505.22,,0.40795
361,185,0.944548,0.000134648,,504.841,,0.4075
362,186,0.945181,0.00063315,,505.978,,0.407
363,187,0.945626,0.000445066,,507.277,,0.406783
364,187,0.945861,0.000235629,,507.51,,0.406
365,186,0.945993,0.000131764,,507.156,,0.4053
366,185,0.946124,0.000131244,,506.811,,0.4049
367,185,0.946355,0.000230964,,507.063,,0.40405
368,185,0.946573,0.000217982,,507.673,,0.404
369,185,0.946802,0.000228828,,507.915,,0.40275
370,184,0.946931,0.000128415,,507.598,,0.4027
371,185,0.947303,0.000372247,,508.766,,0.402675
372,185,0.947527,0.000223682,,509.317,,0.40215
373,185,0.94775,0.000223737,,509.768,,0.40195
374,184,0.947877,0.000127018,,509.473,,0.4016
375,184,0.948269,0.000391953,,510.021,,0.4015
376,184,0.948517,0.000247924,,510.533,,0.40145
377,183,0.948644,0.000126765,,510.255,,0.4014
378,183,0.948865,0.000221495,,510.834,,0.40125
379,183,0.949082,0.000216428,,511.434,,0.40105
380,182,0.949207,0.000125506,,511.174,,0.4004
381,181,0.94933,0.000123017,,510.925,,0.3984
382,180,0.949453,0.000123017,,510.683,,0.3984
383,180,0.949672,0.000218615,,511.155,,0.39835
384,181,0.950099,0.000426628,,512.601,,0.398337
385,180,0.950222,0.000122894,,512.372,,0.3983
386,180,0.95043,0.000208031,,513.008,,0.39795
387,179,0.950551,0.000121909,,512.791,,0.3975
388,180,0.951368,0.000816596,,514.121,,0.397277
389,180,0.951579,0.000211054,,514.697,,0.39685
390,180,0.951879,0.000299942,,515.267,,0.396725
391,179,0.952,0.000120687,,515.07,,0.3965
392,178,0.95212,0.000120566,,514.879,,0.3964
393,179,0.952627,0.000506944,,516.256,,0.396012
394,178,0.952747,0.000119958,,516.074,,0.3959
395,177,0.952866,0.000119112,,515.9,,0.3952
396,178,0.953183,0.000316719,,517.258,,0.395075
397,179,0.953648,0.000464825,,518.146,,0.3949
398,178,0.953766,0.000118391,,517.985,,0.3946
399,179,0.95468,0.000913539,,519.173,,0.39451
400,178,0.954798,0.000118271,,519.02,,0.3945
401,177,0.954916,0.000117911,,518.873,,0.3942
402,178,0.95524,0.000323846,,520.251,,0.3938
403,178,0.955648,0.000408552,,520.925,,0.393731
404,178,0.955909,0.000260733,,521.433,,0.393467
405,177,0.956025,0.000116009,,521.305,,0.3926
406,178,0.956645,0.000619747,,522.643,,0.392395
407,177,0.95676,0.000115419,,522.523,,0.3921
408,176,0.956875,0.000114949,,522.41,,0.3917
409,176,0.957084,0.000208961,,522.961,,0.3915
410,176,0.95749,0.000406306,,523.611,,0.3912
411,175,0.957605,0.000114012,,523.512,,0.3909
412,175,0.957904,0.000299953,,524.205,,0.389957
413,176,0.959428,0.00152383,,525.528,,0.389601
414,176,0.95969,0.000261291,,526.173,,0.3894
415,176,0.959994,0.000304849,,526.841,,0.38922
416,176,0.960185,0.000190429,,527.527,,0.38915
417,175,0.960296,0.000110895,,527.455,,0.3882
418,174,0.960406,0.000110666,,527.388,,0.388
419,175,0.960907,0.000500791,,528.724,,0.38764
420,174,0.961017,0.000109983,,528.666,,0.3874
421,173,0.961127,0.000109643,,528.613,,0.3871
422,172,0.961236,0.000109417,,528.565,,0.3869
423,172,0.961452,0.000215576,,529.208,,0.386633
424,171,0.961561,0.00010874,,529.17,,0.3863
425,172,0.961888,0.000327581,,529.946,,0.386233
426,171,0.961996,0.000107506,,529.918,,0.3852
427,170,0.962103,0.000107172,,529.896,,0.3849
428,169,0.96221,0.000106838,,529.879,,0.3846
429,168,0.962317,0.000106838,,529.866,,0.3846
430,168,0.962505,0.000188717,,530.481,,0.38435
431,168,0.96274,0.000235244,,531.201,,0.384025
432,167,0.962846,0.000105401,,531.202,,0.3833
433,167,0.963031,0.000184707,,531.886,,0.3832
434,167,0.963292,0.000261733,,532.62,,0.3827
435,167,0.963488,0.000195749,,533.159,,0.3817
436,167,0.963672,0.000183497,,533.628,,0.3813
437,168,0.964008,0.000336768,,534.988,,0.380367
438,167,0.96411,0.00010214,,535.014,,0.3803
439,168,0.964784,0.000673562,,536.404,,0.380189
440,168,0.964995,0.000210752,,537.167,,0.380125
441,167,0.965096,0.000101283,,537.203,,0.3795
442,166,0.965197,0.000101176,,537.244,,0.3794
443,167,0.965512,0.000314771,,538.408,,0.3792
444,168,0.966184,0.000671956,,539.28,,0.378903
445,167,0.966285,0.000100644,,539.33,,0.3789
446,166,0.966384,9.97966e-05,,539.386,,0.3781
447,165,0.966484,9.93749e-05,,539.447,,0.3777
448,165,0.966659,0.000175594,,540.086,,0.3776
449,165,0.966902,0.000243041,,540.71,,0.377067
450,166,0.967967,0.00106467,,541.741,,0.376485
451,166,0.968136,0.000168462,,542.496,,0.37645
452,166,0.968334,0.000198659,,543.239,,0.375133
453,166,0.968574,0.000240054,,543.866,,0.375133
