NumberOfClusters,NumberOfNonSingletonClusters,R-Squared(RSQ),Semipartial R-Squared(SPRSQ),SPRSQRank,Kelley Penalty,IsKelleyGlobalMinimum,MergeDistance
711,107,0.998889,7.21671e-05,,732.411,,0.220104
712,107,0.998911,2.12315e-05,,733.341,,0.21785
713,106,0.998922,1.08875e-05,,734.048,,0.2173
714,106,0.998943,2.10783e-05,,734.976,,0.2163
715,107,0.998966,2.3486e-05,,735.903,,0.214675
716,107,0.998987,2.09502e-05,,736.862,,0.2135
717,106,0.998997,9.84493e-06,,737.578,,0.2119
718,105,0.999007,9.77081e-06,,738.296,,0.2115
719,104,0.999016,9.6971e-06,,739.015,,0.2111
720,104,0.999035,1.85977e-05,,739.937,,0.21055
721,105,0.999075,4.0435e-05,,740.961,,0.210325
722,105,0.999092,1.68713e-05,,741.892,,0.2098
723,105,0.999115,2.30864e-05,,742.846,,0.209625
724,104,0.999125,9.24583e-06,,743.57,,0.2086
725,103,0.999134,9.21043e-06,,744.296,,0.2084
726,102,0.999143,9.21043e-06,,745.022,,0.2084
727,101,0.999152,9.06981e-06,,745.75,,0.2076
728,101,0.999169,1.72966e-05,,746.686,,0.20745
729,101,0.999185,1.58096e-05,,747.577,,0.20675
730,100,0.999194,8.91356e-06,,748.307,,0.2067
731,99,0.999203,8.84476e-06,,749.039,,0.2063
732,98,0.999212,8.81051e-06,,749.772,,0.2061
733,99,0.999256,4.42726e-05,,750.887,,0.204192
734,98,0.999264,8.37426e-06,,751.624,,0.2035
735,97,0.999273,8.27594e-06,,752.363,,0.2029
736,96,0.999281,8.14618e-06,,753.103,,0.2021
737,95,0.999289,8.13008e-06,,753.844,,0.202
738,94,0.999297,8.13008e-06,,754.586,,0.202
739,95,0.999334,3.65593e-05,,755.671,,0.201456
740,94,0.999342,7.87553e-06,,756.415,,0.2004
741,93,0.999349,7.81284e-06,,757.161,,0.2
742,92,0.999357,7.61168e-06,,757.908,,0.1987
743,91,0.999365,7.55057e-06,,758.657,,0.1983
744,90,0.999372,7.41442e-06,,759.408,,0.1974
745,91,0.999393,2.15426e-05,,760.451,,0.19715
746,90,0.999401,7.28013e-06,,761.204,,0.1965
747,91,0.999443,4.17874e-05,,762.309,,0.195094
748,91,0.999457,1.47629e-05,,763.269,,0.193267
749,92,0.99949,3.27076e-05,,764.389,,0.19254
750,93,0.999514,2.38646e-05,,765.475,,0.191517
751,93,0.999531,1.67687e-05,,766.429,,0.190725
752,92,0.999537,6.45791e-06,,767.191,,0.1907
753,91,0.999544,6.44437e-06,,767.953,,0.1906
754,90,0.99955,6.29688e-06,,768.717,,0.1895
755,89,0.999556,6.28361e-06,,769.481,,0.1894
756,88,0.999562,6.24389e-06,,770.247,,0.1891
757,87,0.999569,6.11285e-06,,771.014,,0.1881
758,87,0.99958,1.17449e-05,,771.972,,0.18705
759,87,0.999592,1.1434e-05,,772.887,,0.1864
760,86,0.999598,5.83185e-06,,773.658,,0.1859
761,86,0.999608,1.07131e-05,,774.582,,0.184
762,85,0.999614,5.54855e-06,,775.357,,0.1836
763,84,0.999619,5.38124e-06,,776.134,,0.1822
764,84,0.999628,8.85452e-06,,777.115,,0.1813
765,83,0.999633,5.22929e-06,,777.894,,0.1809
766,82,0.999638,5.06928e-06,,778.676,,0.1795
767,81,0.999643,4.92402e-06,,779.46,,0.1782
768,81,0.999655,1.16901e-05,,780.419,,0.1779
769,80,0.99966,4.7711e-06,,781.206,,0.1768
770,79,0.999664,4.7388e-06,,781.993,,0.1765
771,78,0.999669,4.72806e-06,,782.78,,0.1764
772,79,0.999696,2.70968e-05,,783.817,,0.174571
773,80,0.999717,2.10392e-05,,784.845,,0.17415
774,80,0.999725,7.58856e-06,,785.773,,0.17215
775,79,0.999729,4.27369e-06,,786.567,,0.172
776,78,0.999733,4.24395e-06,,787.362,,0.1717
777,79,0.999746,1.27505e-05,,788.419,,0.171625
778,79,0.999755,8.51274e-06,,789.368,,0.1714
779,78,0.999759,4.21437e-06,,790.164,,0.1714
780,77,0.999763,4.18494e-06,,790.962,,0.1711
781,77,0.99977,7.20966e-06,,791.921,,0.16935
782,76,0.999774,3.798e-06,,792.723,,0.167
783,75,0.999778,3.71679e-06,,793.527,,0.1661
784,75,0.999784,6.26501e-06,,794.511,,0.16605
785,74,0.999788,3.6457e-06,,795.317,,0.1653
786,73,0.999791,3.28905e-06,,796.128,,0.1611
787,72,0.999794,3.25651e-06,,796.939,,0.1607
788,71,0.999797,3.14451e-06,,797.753,,0.1593
789,72,0.999808,1.0103e-05,,798.818,,0.15925
790,72,0.999813,5.50164e-06,,799.773,,0.15915
791,72,0.999818,5.44936e-06,,800.738,,0.15895
792,71,0.999822,3.11304e-06,,801.553,,0.1589
793,71,0.999827,5.22585e-06,,802.528,,0.1579
794,71,0.999832,5.16854e-06,,803.503,,0.15745
795,70,0.999835,2.9668e-06,,804.322,,0.157
796,69,0.999838,2.9517e-06,,805.141,,0.1568
797,68,0.999841,2.94419e-06,,805.96,,0.1567
798,69,0.999849,8.5163e-06,,806.973,,0.15615
799,68,0.999852,2.85503e-06,,807.794,,0.1555
800,68,0.999859,7.2168e-06,,808.728,,0.1553
801,67,0.999862,2.81122e-06,,809.551,,0.1549
802,66,0.999865,2.72511e-06,,810.376,,0.1537
803,65,0.999868,2.7039e-06,,811.202,,0.1534
804,64,0.99987,2.66184e-06,,812.028,,0.1528
805,64,0.999875,4.66831e-06,,812.98,,0.1526
806,65,0.999887,1.19206e-05,,814.075,,0.152283
807,65,0.999894,6.94486e-06,,815.04,,0.151175
808,65,0.999898,4.52888e-06,,815.958,,0.1511
809,64,0.999901,2.47863e-06,,816.789,,0.1501
810,64,0.999905,4.49594e-06,,817.743,,0.14985
811,65,0.999912,6.91075e-06,,818.811,,0.14975
812,64,0.999915,2.39387e-06,,819.644,,0.1488
813,63,0.999917,2.36823e-06,,820.478,,0.1484
814,62,0.999919,2.26157e-06,,821.314,,0.1467
815,61,0.999921,2.21264e-06,,822.151,,0.1459
816,61,0.999925,3.88226e-06,,823.075,,0.1454
817,62,0.999933,7.15056e-06,,824.095,,0.145375
818,61,0.999935,2.06484e-06,,824.936,,0.1434
819,60,0.999937,2.05334e-06,,825.777,,0.1432
820,61,0.999949,1.21183e-05,,826.817,,0.143092
821,60,0.999951,1.87586e-06,,827.663,,0.14
822,59,0.999952,1.82284e-06,,828.509,,0.139
823,58,0.999954,1.8176e-06,,829.357,,0.1389
824,57,0.999956,1.78123e-06,,830.205,,0.1382
825,57,0.99996,3.58993e-06,,831.18,,0.137933
826,56,0.999961,1.7607e-06,,832.029,,0.1378
827,55,0.999963,1.72017e-06,,832.88,,0.137
828,54,0.999965,1.70515e-06,,833.731,,0.1367
829,54,0.999968,3.62192e-06,,834.694,,0.131733
830,53,0.99997,1.46013e-06,,835.551,,0.1315
831,52,0.999971,1.24646e-06,,836.414,,0.1264
832,52,0.999974,3.08574e-06,,837.371,,0.1256
833,51,0.999975,1.1213e-06,,838.238,,0.1231
834,50,0.999976,1.04672e-06,,839.107,,0.121
835,50,0.999978,1.91998e-06,,840.064,,0.1202
836,49,0.999979,9.95773e-07,,840.936,,0.1195
837,49,0.999981,1.64522e-06,,841.878,,0.1157
838,49,0.999983,1.83095e-06,,842.857,,0.114733
839,48,0.999984,7.9335e-07,,843.736,,0.1129
840,47,0.999984,7.60154e-07,,844.616,,0.1117
841,46,0.999985,6.40065e-07,,845.502,,0.107
842,45,0.999986,6.25829e-07,,846.388,,0.1064
843,44,0.999986,6.25829e-07,,847.275,,0.1064
844,43,0.999987,6.04921e-07,,848.163,,0.1055
845,42,0.999987,5.93535e-07,,849.052,,0.105
846,41,0.999988,5.348e-07,,849.943,,0.1023
847,40,0.999989,5.32711e-07,,850.835,,0.1022
848,39,0.999989,5.12166e-07,,851.729,,0.1012
849,38,0.99999,4.72864e-07,,852.625,,0.0992
850,38,0.99999,8.07512e-07,,853.59,,0.09825
851,37,0.999991,4.50394e-07,,854.487,,0.098
852,36,0.999991,4.35867e-07,,855.386,,0.0972
853,36,0.999992,9.0394e-07,,856.349,,0.09695
854,35,0.999993,4.30511e-07,,857.248,,0.0969
855,34,0.999993,3.91069e-07,,858.15,,0.0946
856,35,0.999995,2.04549e-06,,859.19,,0.09399
857,34,0.999995,3.5594e-07,,860.094,,0.0924
858,33,0.999996,2.69599e-07,,861.005,,0.0862
859,32,0.999996,2.62171e-07,,861.917,,0.0856
860,31,0.999996,2.57305e-07,,862.829,,0.0852
861,30,0.999996,2.38514e-07,,863.742,,0.0836
862,30,0.999997,4.03321e-07,,864.724,,0.0797
863,29,0.999997,1.83542e-07,,865.643,,0.0783
864,29,0.999997,2.63082e-07,,866.636,,0.0742
865,28,0.999997,1.34909e-07,,867.561,,0.0725
866,29,0.999998,6.14654e-07,,868.579,,0.0721833
867,28,0.999998,1.30498e-07,,869.505,,0.0719
868,27,0.999998,1.29052e-07,,870.432,,0.0717
869,26,0.999998,1.05639e-07,,871.363,,0.0682
870,25,0.999998,1.04406e-07,,872.293,,0.068
871,24,0.999999,9.54939e-08,,873.226,,0.0665
872,23,0.999999,9.37824e-08,,874.159,,0.0662
873,22,0.999999,9.2094e-08,,875.092,,0.0659
874,21,0.999999,9.04282e-08,,876.026,,0.0656
875,20,0.999999,8.93306e-08,,876.96,,0.0654
876,20,0.999999,1.49256e-07,,877.955,,0.0647
877,20,0.999999,1.26693e-07,,878.935,,0.0606
878,20,0.999999,1.11447e-07,,879.921,,0.06
879,20,0.999999,1.16488e-07,,880.902,,0.05985
880,19,0.999999,6.12007e-08,,881.843,,0.0595
881,18,1,5.7189e-08,,882.784,,0.0585
882,17,1,5.41242e-08,,883.727,,0.0577
883,16,1,5.30074e-08,,884.67,,0.0574
884,15,1,5.04686e-08,,885.614,,0.0567
885,14,1,4.90594e-08,,886.558,,0.0563
886,13,1,4.37158e-08,,887.504,,0.0547
887,12,1,3.5429e-08,,888.453,,0.0519
888,11,1,2.72417e-08,,889.405,,0.0486
889,10,1,2.70182e-08,,890.357,,0.0485
890,10,1,4.77121e-08,,891.348,,0.04765
891,9,1,2.42358e-08,,892.301,,0.0472
892,8,1,2.05628e-08,,893.257,,0.0453
893,7,1,1.2376e-08,,894.218,,0.0399
894,6,1,1.2376e-08,,895.179,,0.0399
895,5,1,1.02894e-08,,896.142,,0.0381
896,4,1,6.22364e-09,,897.11,,0.0336
897,3,1,5.8614e-09,,898.078,,0.0331
898,2,1,5.38108e-09,,899.046,,0.0324
899,1,1,4.06179e-09,,900.017,,0.0302
900,0,1,4.90192e-10,,901,,0.0178
